resource_id,resource_type,cloud_provider,region,created_at,last_used_at,days_since_used,monthly_cost_usd,tag_owner,tag_project,tag_environment,shadow_label
res-4893339535,EBSVolume,AWS,eu-west-1,2023-02-19,2024-06-29,1,83.24,team-ml,project-beta,staging,normal
res-f9192f74da,RDSInstance,Azure,eu-west-1,2024-04-08,2024-06-19,11,535.75,team-backend,project-omega,development,normal
res-6d9e0913d2,EC2Instance,GCP,ap-south-1,2023-04-24,2024-06-28,2,98.79,team-ml,project-alpha,staging,normal
res-729596b2be,ElasticIP,GCP,us-west-2,2023-08-26,2023-08-21,314,3.4,,,,shadow_it
res-6e0512fbd0,EBSVolume,AWS,us-west-2,2024-02-22,2024-06-26,4,88.36,team-frontend,project-gamma,production,normal
res-d216080e25,LambdaFunction,GCP,us-west-2,2023-06-24,2024-06-17,13,27.76,team-ml,project-alpha,development,normal
res-b73c3e7de3,S3Bucket,AWS,us-west-2,2024-03-24,2023-07-14,352,53.5,,,,shadow_it
res-801804dd1f,S3Bucket,Azure,ca-central-1,2023-10-27,2024-06-18,12,62.99,team-ml,project-beta,staging,normal
res-e613fb941d,ElasticIP,GCP,eu-west-1,2023-12-11,2024-06-19,11,7.5,team-backend,project-beta,staging,normal
res-28495677a0,EC2Instance,AWS,eu-west-1,2024-03-13,2024-06-27,3,492.33,team-ml,project-delta,development,normal
res-44ee183c46,RDSInstance,AWS,us-west-2,2023-03-24,2024-06-25,5,429.29,team-ml,project-alpha,development,normal
res-d352e38367,EKSCluster,AWS,us-west-2,2024-06-09,2024-06-18,12,323.6,team-ml,project-gamma,staging,normal
res-4e2f9acb0b,EBSVolume,AWS,us-east-1,2023-06-24,2023-10-22,252,128.52,,,,shadow_it
res-29efbad2c7,ElasticIP,AWS,eu-west-1,2023-09-17,2024-06-22,8,8.17,team-data,project-alpha,staging,normal
res-d7239fe275,EBSVolume,GCP,ca-central-1,2023-10-31,2023-09-06,298,148.83,,,,shadow_it
res-0b515b89a4,LambdaFunction,AWS,ca-central-1,2023-09-28,2024-02-13,138,18.52,,,,shadow_it
res-bf584e1fa0,EC2Instance,AWS,us-west-2,2023-12-19,2024-06-30,0,477.38,team-frontend,project-beta,development,normal
res-5249737844,S3Bucket,AWS,ca-central-1,2024-05-15,2024-06-16,14,49.12,team-infra,project-alpha,production,normal
res-5ddd2d7e9f,ElasticIP,Azure,us-west-2,2023-02-17,2024-06-29,1,4.63,team-frontend,project-omega,production,normal
res-c20acaac20,NATGateway,AWS,ca-central-1,2024-03-10,2024-06-27,3,155.49,team-data,project-beta,staging,normal
res-fbbb165e20,LambdaFunction,AWS,ca-central-1,2023-10-02,2023-07-12,354,27.55,,,,shadow_it
res-0589de3b2c,RDSInstance,AWS,us-west-2,2023-11-01,2024-06-24,6,176.54,team-infra,project-omega,development,normal
res-38797e2a61,EKSCluster,Azure,ap-southeast-1,2023-07-14,2024-06-29,1,636.76,team-security,project-alpha,production,normal
res-7878f96231,ElasticIP,AWS,us-east-1,2023-08-26,2023-11-23,220,3.07,,,,shadow_it
res-2ceae1b8a0,EKSCluster,AWS,ca-central-1,2023-06-13,2023-10-08,266,589.24,,,,shadow_it
res-c7c95b9d72,EKSCluster,GCP,ap-south-1,2023-12-01,2024-06-30,0,808.27,team-frontend,project-beta,production,normal
res-094cc45501,EBSVolume,AWS,ap-south-1,2023-07-31,2024-06-27,3,13.02,team-ml,project-beta,production,normal
res-dc5c06438e,S3Bucket,AWS,us-west-2,2023-07-05,2024-06-18,12,13.55,team-backend,project-alpha,staging,normal
res-77f4fbe816,EBSVolume,AWS,ca-central-1,2023-06-08,2024-06-22,8,46.8,team-infra,project-omega,development,normal
res-1b6d953c19,ElasticIP,AWS,ap-south-1,2023-10-15,2024-03-15,107,4.54,,,,shadow_it
res-443b1332fc,ElasticIP,GCP,us-east-1,2023-09-17,2024-06-21,9,6.1,team-ml,project-beta,production,normal
res-83f3f43137,NATGateway,GCP,us-east-1,2023-09-26,2023-09-18,286,50.73,,,,shadow_it
res-dd829e28d7,EC2Instance,Azure,eu-west-1,2023-03-26,2024-06-16,14,394.59,team-frontend,project-omega,production,normal
res-b0d682b0d5,RDSInstance,Azure,eu-west-1,2023-11-20,2023-11-10,233,473.94,,,,shadow_it
res-9794705026,NATGateway,Azure,ap-southeast-1,2024-03-25,2024-06-30,0,52.05,team-ml,project-alpha,development,normal
res-9b68d4a0cf,EBSVolume,AWS,eu-west-1,2024-06-02,2023-10-20,254,40.53,,,,shadow_it
res-1da21cfbb6,RDSInstance,AWS,eu-west-1,2023-09-01,2024-01-23,159,758.78,,,,shadow_it
res-3eb9f7b99c,EKSCluster,AWS,ca-central-1,2023-04-22,2023-12-29,184,951.76,,,,shadow_it
res-2e229d62c5,EBSVolume,GCP,us-east-1,2024-04-02,2024-06-22,8,32.16,team-frontend,project-gamma,development,normal
res-888ac65fb0,EKSCluster,GCP,us-east-1,2024-05-16,2024-06-17,13,591.16,team-backend,project-gamma,staging,normal
res-033989fb8a,EKSCluster,GCP,eu-west-1,2023-11-11,2024-06-17,13,452.28,team-ml,project-gamma,staging,normal
res-66881a4d24,EKSCluster,GCP,us-west-2,2023-03-08,2024-06-27,3,1001.97,team-frontend,project-omega,production,normal
res-374c6b77e2,LambdaFunction,GCP,ap-south-1,2023-01-09,2023-08-23,312,31.69,,,,shadow_it
res-e9691ba07f,EC2Instance,Azure,ca-central-1,2023-05-08,2024-06-29,1,301.39,team-backend,project-delta,production,normal
res-9233527029,RDSInstance,AWS,us-east-1,2023-12-04,2024-06-29,1,209.34,team-data,project-gamma,production,normal
res-1fadd602da,EKSCluster,GCP,ap-south-1,2023-12-26,2024-06-20,10,816.42,team-security,project-beta,production,normal
res-67a3641395,ElasticIP,AWS,us-west-2,2023-08-21,2024-06-22,8,9.76,team-backend,project-delta,development,normal
res-3fc61f8385,NATGateway,GCP,ap-southeast-1,2023-06-29,2024-06-28,2,185.15,team-backend,project-gamma,development,normal
res-4361bd29b7,LambdaFunction,AWS,ca-central-1,2023-04-13,2024-06-28,2,8.71,team-ml,project-gamma,development,normal
res-b7e393b82c,EKSCluster,AWS,us-east-1,2023-07-04,2023-08-22,313,245.79,,,,shadow_it
res-eb08cf3e21,ElasticIP,GCP,ap-southeast-1,2023-08-26,2024-06-28,2,9.69,team-ml,project-gamma,development,normal
res-7d77af999f,RDSInstance,GCP,ap-southeast-1,2023-08-23,2023-10-09,265,450.44,,,,shadow_it
res-cf92629750,S3Bucket,AWS,us-west-2,2024-03-18,2024-06-24,6,32.95,team-ml,project-omega,staging,normal
res-2eca2db18a,EBSVolume,Azure,us-east-1,2023-11-25,2024-06-25,5,105.34,team-data,project-alpha,staging,normal
res-046ec4ea3d,EC2Instance,Azure,eu-west-1,2023-08-05,2024-06-21,9,587.88,team-backend,project-omega,development,normal
res-36816227ca,EKSCluster,Azure,us-west-2,2024-02-03,2024-06-17,13,861.49,team-data,project-gamma,development,normal
res-065a003c20,EC2Instance,GCP,ap-southeast-1,2023-09-26,2023-09-04,300,352.29,,,,shadow_it
res-9734a0d1c2,S3Bucket,Azure,ap-south-1,2023-04-03,2024-06-29,1,22.14,team-frontend,project-alpha,staging,normal
res-be134fb1da,RDSInstance,Azure,ap-south-1,2023-10-17,2024-06-30,0,840.19,team-data,project-delta,production,normal
res-963d0051ec,S3Bucket,GCP,ap-south-1,2024-05-10,2023-12-13,200,59.32,,,,shadow_it
res-56e8c1d0c2,EC2Instance,Azure,us-west-2,2023-03-09,2024-06-19,11,103.23,team-backend,project-beta,development,normal
res-a46360f712,LambdaFunction,AWS,ca-central-1,2023-04-06,2024-01-28,154,38.87,,,,shadow_it
res-27a67cc09e,NATGateway,Azure,ap-southeast-1,2024-05-30,2024-06-19,11,136.28,team-backend,project-gamma,production,normal
res-b4cad8bbff,LambdaFunction,GCP,eu-west-1,2023-06-06,2024-06-23,7,15.25,team-data,project-gamma,development,normal
res-19299cd736,S3Bucket,GCP,us-east-1,2023-07-19,2024-06-25,5,36.12,team-ml,project-beta,development,normal
res-ae37d1e000,EKSCluster,AWS,ap-southeast-1,2023-10-04,2024-06-29,1,1189.62,team-infra,project-delta,development,normal
res-11233c8a20,EKSCluster,Azure,us-east-1,2023-12-27,2024-06-30,0,372.9,team-security,project-gamma,production,normal
res-f5da96b9b5,EC2Instance,AWS,ap-southeast-1,2023-11-06,2024-06-25,5,163.9,team-infra,project-gamma,staging,normal
res-935f89d519,EKSCluster,Azure,us-west-2,2024-06-14,2023-08-08,327,664.65,,,,shadow_it
res-274b5e33bc,NATGateway,GCP,ap-south-1,2023-12-22,2024-06-28,2,115.57,team-security,project-omega,production,normal
res-3bacc4b6dc,S3Bucket,Azure,us-west-2,2023-01-25,2023-09-11,293,78.9,,,,shadow_it
res-50584b4798,EBSVolume,GCP,ap-south-1,2023-07-20,2024-06-19,11,146.4,team-backend,project-alpha,production,normal
res-ab26019dc0,LambdaFunction,Azure,us-west-2,2023-10-14,2024-06-27,3,4.26,team-frontend,project-alpha,production,normal
res-7249e875ef,EC2Instance,AWS,ca-central-1,2023-02-24,2024-06-19,11,342.94,team-frontend,project-delta,staging,normal
res-b113d65325,S3Bucket,GCP,ap-southeast-1,2023-04-09,2024-06-20,10,60.25,team-infra,project-gamma,staging,normal
res-c0a50b9cae,S3Bucket,GCP,us-west-2,2023-02-14,2024-06-19,11,39.81,team-data,project-delta,staging,normal
res-4652f43f39,NATGateway,GCP,ap-southeast-1,2023-02-08,2024-06-26,4,108.88,team-ml,project-delta,development,normal
res-0219ab3c4d,RDSInstance,Azure,us-east-1,2023-03-13,2023-10-08,266,502.07,,,,shadow_it
res-fdd0248426,EBSVolume,Azure,ap-south-1,2024-04-20,2024-06-28,2,143.22,team-backend,project-omega,staging,normal
res-d278621a59,EC2Instance,AWS,us-west-2,2023-12-10,2023-12-11,202,481.13,,,,shadow_it
res-4a539b9842,EKSCluster,AWS,ap-south-1,2024-04-20,2024-06-18,12,419.72,team-data,project-alpha,production,normal
res-cceb2a2238,LambdaFunction,AWS,ap-southeast-1,2024-06-14,2023-11-18,225,20.1,,,,shadow_it
res-94ec91893c,ElasticIP,Azure,ap-south-1,2023-10-15,2024-06-20,10,7.07,team-infra,project-alpha,production,normal
res-51cb0537c6,EC2Instance,AWS,eu-west-1,2023-09-05,2024-06-17,13,447.93,team-frontend,project-gamma,production,normal
res-21fa86fad6,NATGateway,Azure,ca-central-1,2023-08-17,2024-06-23,7,109.82,team-security,project-delta,production,normal
res-455c587b34,EKSCluster,GCP,ap-southeast-1,2024-03-20,2024-06-16,14,1125.96,team-backend,project-delta,development,normal
res-83644182b1,ElasticIP,GCP,ca-central-1,2024-06-17,2023-10-01,273,5.56,,,,shadow_it
res-1c647808f2,ElasticIP,GCP,ap-south-1,2023-07-29,2024-06-16,14,7.22,team-frontend,project-delta,production,normal
res-aa4b53b4e0,LambdaFunction,GCP,ap-south-1,2024-04-01,2023-07-30,336,4.74,,,,shadow_it
res-b85f700a18,RDSInstance,GCP,us-west-2,2024-02-27,2024-06-17,13,161.89,team-frontend,project-beta,production,normal
res-4588a12ba2,S3Bucket,GCP,ap-south-1,2023-05-11,2024-03-29,93,70.26,,,,shadow_it
res-3cc5de1b7a,ElasticIP,AWS,eu-west-1,2023-09-19,2024-06-18,12,7.05,team-data,project-beta,development,normal
res-215800c6c9,EC2Instance,GCP,us-east-1,2024-01-14,2023-10-03,271,324.04,,,,shadow_it
res-909c4913df,EC2Instance,AWS,ap-south-1,2023-06-24,2024-06-27,3,209.16,team-frontend,project-beta,production,normal
res-f3fa56d119,EBSVolume,AWS,ap-southeast-1,2024-03-27,2024-06-28,2,37.0,team-backend,project-omega,development,normal
res-837e633b3d,NATGateway,Azure,ap-south-1,2024-01-29,2024-06-17,13,168.58,team-data,project-beta,staging,normal
res-0e5cd56e38,NATGateway,Azure,eu-west-1,2023-12-02,2024-06-27,3,151.53,team-frontend,project-omega,production,normal
res-98f5a3b845,ElasticIP,Azure,ca-central-1,2023-11-23,2024-03-13,109,4.22,,,,shadow_it
res-b26b3c789a,LambdaFunction,Azure,eu-west-1,2024-06-05,2024-01-06,176,2.6,,,,shadow_it
res-7fe143f104,RDSInstance,AWS,us-east-1,2024-04-11,2023-11-16,227,741.81,,,,shadow_it
res-01e2dba393,ElasticIP,Azure,us-west-2,2023-03-23,2024-06-30,0,4.37,team-infra,project-beta,staging,normal
res-1aeb93d9cb,NATGateway,Azure,us-east-1,2023-06-24,2023-10-25,249,142.09,,,,shadow_it
res-d9af941a50,EKSCluster,GCP,us-east-1,2023-11-12,2024-06-30,0,948.81,team-ml,project-omega,staging,normal
res-fb0016aa94,LambdaFunction,GCP,eu-west-1,2024-02-28,2024-06-22,8,3.28,team-infra,project-beta,production,normal
res-8d9007e290,NATGateway,AWS,us-west-2,2023-11-27,2023-08-27,308,173.34,,,,shadow_it
res-e992a0d820,EKSCluster,AWS,us-west-2,2023-11-20,2024-06-18,12,817.03,team-ml,project-alpha,development,normal
res-eb8ee7c3d9,NATGateway,GCP,ap-south-1,2023-10-05,2024-06-28,2,88.53,team-ml,project-delta,development,normal
res-4bbd167e45,NATGateway,AWS,ap-southeast-1,2024-03-01,2024-06-29,1,132.39,team-security,project-alpha,production,normal
res-907c86a227,S3Bucket,GCP,ap-southeast-1,2023-04-18,2024-06-26,4,18.93,team-backend,project-gamma,staging,normal
res-50ad6214ec,ElasticIP,GCP,us-east-1,2024-04-08,2024-06-18,12,3.93,team-ml,project-gamma,staging,normal
res-529fe5edb3,S3Bucket,GCP,eu-west-1,2023-06-29,2024-06-23,7,55.51,team-data,project-gamma,staging,normal
res-fa3153a32e,LambdaFunction,GCP,ap-south-1,2023-09-10,2024-06-22,8,32.65,team-ml,project-alpha,development,normal
res-77d1688fdd,S3Bucket,Azure,ap-south-1,2023-10-01,2024-06-17,13,27.82,team-data,project-beta,development,normal
res-54c3f9e277,EC2Instance,GCP,eu-west-1,2023-09-07,2023-09-28,276,87.42,,,,shadow_it
res-be3639c161,EBSVolume,AWS,ap-southeast-1,2023-09-16,2024-06-28,2,94.8,team-infra,project-omega,development,normal
res-62679d77eb,ElasticIP,AWS,us-west-2,2024-05-27,2024-06-29,1,9.16,team-infra,project-alpha,development,normal
res-47c8fb29a6,EKSCluster,GCP,ap-southeast-1,2023-05-09,2024-06-16,14,812.39,team-ml,project-delta,production,normal
res-5170d7b6bb,NATGateway,GCP,ap-southeast-1,2023-06-09,2024-06-25,5,191.78,team-backend,project-alpha,development,normal
res-35e9c1a856,S3Bucket,GCP,us-west-2,2023-09-03,2024-06-27,3,64.22,team-data,project-omega,staging,normal
res-8e2638d171,EKSCluster,AWS,eu-west-1,2023-03-05,2024-06-16,14,406.37,team-security,project-alpha,production,normal
res-715b9de401,RDSInstance,AWS,eu-west-1,2023-12-15,2024-06-19,11,563.86,team-ml,project-beta,production,normal
res-a01f41e385,EKSCluster,AWS,us-east-1,2024-04-11,2024-06-18,12,1027.23,team-infra,project-beta,production,normal
res-7c90b96f4e,RDSInstance,AWS,eu-west-1,2023-10-12,2024-06-23,7,377.58,team-data,project-omega,development,normal
res-d7b6fd9f7f,EBSVolume,GCP,ap-southeast-1,2023-07-23,2024-06-23,7,67.13,team-data,project-beta,production,normal
res-557e2c7b56,NATGateway,Azure,ap-south-1,2023-05-29,2024-06-21,9,113.43,team-ml,project-alpha,production,normal
res-17542b7196,EC2Instance,Azure,ca-central-1,2023-04-10,2024-06-20,10,386.94,team-data,project-alpha,staging,normal
res-ea67d5e55f,EBSVolume,Azure,us-east-1,2023-12-11,2024-06-27,3,29.67,team-ml,project-delta,production,normal
res-052d08dfdd,LambdaFunction,Azure,eu-west-1,2023-06-21,2024-06-21,9,30.68,team-ml,project-delta,production,normal
res-24ba8bd728,EBSVolume,GCP,eu-west-1,2024-02-04,2023-10-23,251,85.14,,,,shadow_it
res-d0bcdbd48b,LambdaFunction,Azure,ap-south-1,2024-02-16,2024-06-26,4,31.94,team-infra,project-gamma,development,normal
res-f07186ee28,S3Bucket,AWS,us-east-1,2023-01-12,2023-10-22,252,42.57,,,,shadow_it
res-9c9a8823a5,EKSCluster,Azure,us-east-1,2024-05-05,2024-06-28,2,236.48,team-frontend,project-delta,staging,normal
res-ef85cdfea7,EKSCluster,GCP,eu-west-1,2023-05-12,2024-02-17,134,698.62,,,,shadow_it
res-1bcb5ee864,S3Bucket,AWS,us-west-2,2023-02-20,2024-06-23,7,79.93,team-ml,project-alpha,staging,normal
res-3a370a6dfd,S3Bucket,AWS,ap-southeast-1,2024-01-14,2024-06-17,13,15.23,team-data,project-gamma,development,normal
res-e38e869521,S3Bucket,AWS,ap-south-1,2023-09-09,2024-06-18,12,47.48,team-data,project-delta,staging,normal
res-5e97eca3b0,EKSCluster,AWS,ap-southeast-1,2023-01-26,2024-06-16,14,570.0,team-security,project-alpha,development,normal
res-069169373e,S3Bucket,Azure,us-east-1,2024-06-20,2024-06-28,2,30.64,team-infra,project-omega,production,normal
res-febd454738,EBSVolume,Azure,ca-central-1,2023-06-06,2024-06-18,12,90.88,team-security,project-alpha,staging,normal
res-2b3c057f48,S3Bucket,GCP,us-west-2,2024-03-02,2024-06-22,8,29.52,team-frontend,project-delta,production,normal
res-416a287481,EKSCluster,Azure,us-west-2,2024-04-02,2024-06-30,0,284.17,team-frontend,project-alpha,development,normal
res-e863a129ee,EBSVolume,GCP,us-east-1,2023-08-17,2024-06-16,14,113.98,team-infra,project-beta,production,normal
res-4b8e1d0491,ElasticIP,GCP,us-east-1,2023-07-23,2024-06-26,4,9.16,team-infra,project-alpha,production,normal
res-a40e5c115c,NATGateway,GCP,us-west-2,2023-07-04,2024-06-22,8,176.67,team-ml,project-gamma,staging,normal
res-be6ac21c65,RDSInstance,GCP,us-east-1,2024-01-07,2024-06-29,1,469.13,team-data,project-gamma,development,normal
res-a49848671e,LambdaFunction,GCP,ca-central-1,2023-05-25,2024-06-28,2,14.8,team-data,project-delta,development,normal
res-7231474cab,NATGateway,AWS,us-east-1,2024-05-03,2024-06-26,4,153.21,team-data,project-gamma,staging,normal
res-041366f97e,S3Bucket,GCP,us-east-1,2024-04-09,2024-06-16,14,68.38,team-ml,project-gamma,development,normal
res-15bc164ae8,S3Bucket,AWS,ca-central-1,2023-04-07,2024-06-27,3,59.45,team-backend,project-omega,production,normal
res-4554030561,EC2Instance,Azure,us-east-1,2023-04-06,2024-06-19,11,196.29,team-frontend,project-beta,development,normal
res-aa4316043c,EBSVolume,AWS,ca-central-1,2023-09-14,2024-06-27,3,10.25,team-backend,project-gamma,production,normal
res-10eb3b90ca,RDSInstance,AWS,ap-southeast-1,2024-05-02,2024-06-20,10,541.56,team-infra,project-beta,production,normal
res-c9b091a50f,RDSInstance,GCP,ca-central-1,2023-10-09,2024-06-16,14,319.58,team-ml,project-delta,production,normal
res-90d3dbe2d5,LambdaFunction,Azure,ap-south-1,2023-05-25,2024-06-18,12,34.41,team-frontend,project-gamma,staging,normal
res-4ac360da18,LambdaFunction,GCP,eu-west-1,2024-01-30,2024-06-21,9,34.98,team-security,project-omega,staging,normal
res-d364f4be17,EKSCluster,Azure,ap-southeast-1,2023-08-24,2024-06-26,4,374.23,team-frontend,project-beta,staging,normal
res-7f88146fc1,RDSInstance,Azure,us-east-1,2023-08-23,2024-06-20,10,796.83,team-ml,project-beta,staging,normal
res-32402b6fc7,RDSInstance,Azure,us-west-2,2023-05-17,2023-08-09,326,583.37,,,,shadow_it
res-569c98e60a,LambdaFunction,AWS,us-east-1,2023-02-01,2024-06-20,10,6.07,team-ml,project-beta,production,normal
res-41a4926996,ElasticIP,Azure,ap-southeast-1,2023-10-27,2024-06-27,3,9.94,team-security,project-gamma,development,normal
res-8d47c5051c,EBSVolume,AWS,us-east-1,2024-02-18,2024-06-16,14,102.01,team-data,project-omega,production,normal
res-8512249520,EC2Instance,AWS,ap-southeast-1,2023-01-18,2024-06-25,5,510.13,team-data,project-gamma,production,normal
res-9e1128916d,EC2Instance,Azure,ap-south-1,2023-09-23,2023-12-24,189,356.09,,,,shadow_it
res-4e2bc72b04,EKSCluster,Azure,ca-central-1,2023-12-10,2024-06-24,6,773.04,team-frontend,project-omega,production,normal
res-9cc43e205d,RDSInstance,Azure,ap-southeast-1,2024-06-19,2024-06-22,8,264.05,team-backend,project-gamma,production,normal
res-7cf555dbc4,EBSVolume,Azure,ap-south-1,2024-04-14,2024-06-23,7,73.12,team-infra,project-delta,staging,normal
res-fc96b62545,EBSVolume,AWS,ap-southeast-1,2023-02-12,2024-06-17,13,148.46,team-backend,project-omega,development,normal
res-6c65c8e95b,NATGateway,Azure,us-west-2,2023-03-24,2024-06-29,1,36.99,team-backend,project-omega,staging,normal
res-27ab22833c,RDSInstance,GCP,us-east-1,2024-04-28,2024-06-17,13,633.37,team-frontend,project-omega,staging,normal
res-59ffaddaa8,RDSInstance,GCP,ca-central-1,2024-01-24,2024-06-29,1,772.29,team-infra,project-delta,production,normal
res-e28632210b,EC2Instance,Azure,us-east-1,2023-09-28,2024-02-23,128,105.29,,,,shadow_it
res-aa76045dcd,S3Bucket,AWS,eu-west-1,2024-04-14,2024-06-19,11,43.35,team-data,project-gamma,development,normal
res-4fc663c915,EKSCluster,GCP,us-east-1,2023-01-09,2024-06-30,0,338.15,team-backend,project-gamma,development,normal
res-baddc58525,EC2Instance,Azure,eu-west-1,2023-12-18,2024-06-29,1,498.62,team-backend,project-delta,staging,normal
res-a65fabcbb2,RDSInstance,Azure,eu-west-1,2023-12-09,2024-06-25,5,355.67,team-frontend,project-alpha,production,normal
res-dd942982e8,EBSVolume,AWS,us-east-1,2024-02-24,2024-06-21,9,11.41,team-frontend,project-omega,development,normal
res-f71a09d89e,EC2Instance,AWS,ap-south-1,2023-08-16,2024-06-18,12,150.48,team-frontend,project-alpha,production,normal
res-746ca5a4d6,EBSVolume,GCP,ap-south-1,2023-11-29,2024-06-27,3,111.22,team-frontend,project-delta,development,normal
res-71be1d1602,EC2Instance,AWS,ap-southeast-1,2024-01-14,2024-06-19,11,370.45,team-frontend,project-alpha,staging,normal
res-e81a0e456c,S3Bucket,GCP,eu-west-1,2023-05-13,2024-06-29,1,44.56,team-data,project-gamma,staging,normal
res-e3baf8274f,RDSInstance,AWS,ap-south-1,2023-05-06,2024-06-29,1,774.14,team-frontend,project-beta,development,normal
res-7d9bb76df9,LambdaFunction,GCP,eu-west-1,2023-02-16,2024-06-16,14,32.34,team-infra,project-alpha,development,normal
res-246889a7d7,EKSCluster,AWS,ca-central-1,2024-05-10,2023-12-30,183,234.3,,,,shadow_it
res-1f539eb449,ElasticIP,AWS,ap-south-1,2023-11-22,2024-06-27,3,8.41,team-infra,project-beta,production,normal
res-c7195691a6,S3Bucket,Azure,us-east-1,2023-12-11,2024-06-27,3,42.62,team-security,project-delta,staging,normal
res-2862e52b74,LambdaFunction,GCP,us-west-2,2024-02-04,2024-06-19,11,31.69,team-frontend,project-delta,development,normal
res-9f0bf9ca76,EKSCluster,AWS,ap-southeast-1,2023-10-17,2024-06-16,14,1021.2,team-security,project-alpha,development,normal
res-a94001b43d,LambdaFunction,Azure,us-west-2,2024-03-28,2024-06-27,3,6.19,team-ml,project-delta,production,normal
res-52afbdb72a,NATGateway,AWS,eu-west-1,2023-11-23,2024-06-25,5,175.94,team-infra,project-alpha,production,normal
res-2d2bff8995,ElasticIP,Azure,us-east-1,2023-03-21,2024-06-27,3,6.08,team-security,project-delta,production,normal
res-e9997117d0,EBSVolume,AWS,ap-south-1,2024-04-11,2024-02-28,123,112.79,,,,shadow_it
res-6a95ebafbc,S3Bucket,Azure,ca-central-1,2023-07-30,2024-06-18,12,30.77,team-security,project-gamma,production,normal
res-bca19d7c76,S3Bucket,GCP,us-west-2,2023-10-19,2023-11-16,227,41.03,,,,shadow_it
res-71fd212a8a,EBSVolume,AWS,eu-west-1,2023-02-25,2024-06-27,3,17.48,team-frontend,project-gamma,production,normal
res-ee8b0ea530,RDSInstance,AWS,eu-west-1,2023-03-21,2024-06-16,14,366.45,team-ml,project-omega,development,normal
res-6f53f327e4,EBSVolume,Azure,us-east-1,2023-08-16,2024-06-25,5,74.33,team-security,project-alpha,staging,normal
res-82588e98f1,EKSCluster,Azure,ap-south-1,2024-06-05,2023-10-26,248,1101.43,,,,shadow_it
res-bca8e0b24f,EBSVolume,Azure,us-west-2,2023-11-30,2024-06-23,7,106.21,team-backend,project-gamma,staging,normal
